capacitity,red,green,blue,label
414.2,0.3202,0.3311,0.3487,WATER
414.6,0.3202,0.3311,0.3487,WATER
415.6,0.3196,0.3304,0.35,WATER
415.6,0.3196,0.3304,0.35,WATER
415.2,0.3203,0.329,0.3508,WATER
415.4,0.3203,0.329,0.3508,WATER
414.8,0.321,0.3297,0.3493,WATER
416.0,0.321,0.3297,0.3493,WATER
416.2,0.3225,0.329,0.3485,WATER
400.6,0.4142,0.3138,0.272,BEER
401.6,0.4142,0.3138,0.272,BEER
402.6,0.4142,0.3138,0.272,BEER
402.6,0.4117,0.3152,0.2731,BEER
402.4,0.4117,0.3152,0.2731,BEER
401.6,0.4142,0.3138,0.272,BEER
402.6,0.4142,0.3138,0.272,BEER
401.0,0.4142,0.3138,0.272,BEER
401.4,0.4142,0.3138,0.272,BEER
401.8,0.4117,0.3152,0.2731,BEER
402.6,0.4117,0.3152,0.2731,BEER
401.8,0.4117,0.3152,0.2731,BEER
402.6,0.4117,0.3152,0.2731,BEER
402.4,0.4142,0.3138,0.272,BEER
402.0,0.4142,0.3138,0.272,BEER
401.6,0.4117,0.3152,0.2731,BEER
401.0,0.4117,0.3152,0.2731,BEER
400.2,0.4117,0.3152,0.2731,BEER
394.0,0.4117,0.3152,0.2731,BEER
394.6,0.4142,0.3138,0.272,BEER
395.4,0.4142,0.3138,0.272,BEER
394.2,0.4117,0.3152,0.2731,BEER
394.8,0.4117,0.3152,0.2731,BEER
401.0,0.4117,0.3152,0.2731,BEER
400.8,0.4117,0.3152,0.2731,BEER
399.6,0.4142,0.3138,0.272,BEER
401.2,0.4142,0.3138,0.272,BEER
401.6,0.4142,0.3138,0.272,BEER
401.6,0.4142,0.3138,0.272,BEER
402.0,0.4142,0.3138,0.272,BEER
401.6,0.4142,0.3138,0.272,BEER
402.0,0.4167,0.3125,0.2708,BEER
402.4,0.4167,0.3125,0.2708,BEER
400.0,0.4167,0.3125,0.2708,BEER
399.8,0.4167,0.3125,0.2708,BEER
399.4,0.4167,0.3125,0.2708,BEER
399.2,0.4167,0.3125,0.2708,BEER
398.8,0.4167,0.3125,0.2708,BEER
400.4,0.4167,0.3125,0.2708,BEER
400.0,0.4167,0.3125,0.2708,BEER
400.6,0.4167,0.3125,0.2708,BEER
400.0,0.4167,0.3125,0.2708,BEER
398.8,0.4167,0.3125,0.2708,BEER
399.8,0.4142,0.3138,0.272,BEER
399.8,0.4142,0.3138,0.272,BEER
399.2,0.4117,0.3152,0.2731,BEER
399.2,0.4117,0.3152,0.2731,BEER
401.0,0.4117,0.3152,0.2731,BEER
400.6,0.4117,0.3152,0.2731,BEER
400.6,0.4092,0.3165,0.2743,BEER
398.6,0.4092,0.3165,0.2743,BEER
399.2,0.4067,0.3178,0.2754,BEER
398.6,0.4067,0.3178,0.2754,BEER
398.4,0.4067,0.3178,0.2754,BEER
403.4,0.4067,0.3178,0.2754,BEER
410.4,0.4092,0.3165,0.2743,BEER
409.6,0.4092,0.3165,0.2743,BEER
409.4,0.4092,0.3165,0.2743,BEER
409.8,0.4092,0.3165,0.2743,BEER
404.6,0.4117,0.3152,0.2731,BEER
400.0,0.4117,0.3152,0.2731,BEER
400.2,0.4117,0.3152,0.2731,BEER
400.2,0.4117,0.3152,0.2731,BEER
400.6,0.4142,0.3138,0.272,BEER
401.0,0.4142,0.3138,0.272,BEER
401.6,0.4117,0.3152,0.2731,BEER
402.4,0.4117,0.3152,0.2731,BEER
399.2,0.4092,0.3165,0.2743,BEER
398.8,0.4092,0.3165,0.2743,BEER
397.2,0.4092,0.3165,0.2743,BEER
397.4,0.4092,0.3165,0.2743,BEER
396.8,0.4092,0.3165,0.2743,BEER
402.2,0.4092,0.3165,0.2743,BEER
402.2,0.4067,0.3178,0.2754,BEER
403.2,0.4067,0.3178,0.2754,BEER
403.0,0.4092,0.3165,0.2743,BEER
401.8,0.4092,0.3165,0.2743,BEER
399.2,0.4092,0.3165,0.2743,BEER
399.8,0.4092,0.3165,0.2743,BEER
400.6,0.4092,0.3165,0.2743,BEER
401.0,0.4092,0.3165,0.2743,BEER
405.2,0.4092,0.3165,0.2743,BEER
406.2,0.4092,0.3165,0.2743,BEER
405.4,0.4117,0.3152,0.2731,BEER
405.0,0.4117,0.3152,0.2731,BEER
404.8,0.4092,0.3165,0.2743,BEER
402.2,0.4092,0.3165,0.2743,BEER
402.2,0.4092,0.3165,0.2743,BEER
402.8,0.4092,0.3165,0.2743,BEER
403.2,0.4103,0.3162,0.2735,BEER
403.4,0.4103,0.3162,0.2735,BEER
403.2,0.4103,0.3162,0.2735,BEER
402.8,0.4103,0.3162,0.2735,BEER
402.6,0.4096,0.3146,0.2758,BEER
402.4,0.4096,0.3146,0.2758,BEER
402.0,0.4096,0.3146,0.2758,BEER
403.8,0.4096,0.3146,0.2758,BEER
404.0,0.4096,0.3146,0.2758,BEER
403.6,0.4096,0.3146,0.2758,BEER
403.8,0.4096,0.3146,0.2758,BEER
404.2,0.4096,0.3146,0.2758,BEER
402.0,0.4096,0.3146,0.2758,BEER
401.8,0.4096,0.3146,0.2758,BEER
402.0,0.4096,0.3146,0.2758,BEER
401.4,0.4096,0.3146,0.2758,BEER
400.8,0.4096,0.3146,0.2758,BEER
401.4,0.4096,0.3146,0.2758,BEER
401.4,0.4096,0.3146,0.2758,BEER
401.2,0.4096,0.3146,0.2758,BEER
401.6,0.406,0.3162,0.2778,BEER
401.4,0.406,0.3162,0.2778,BEER
401.2,0.406,0.3162,0.2778,BEER
401.2,0.406,0.3162,0.2778,BEER
400.0,0.4043,0.3191,0.2766,BEER
399.6,0.4043,0.3191,0.2766,BEER
400.6,0.4043,0.3191,0.2766,BEER
401.6,0.4043,0.3191,0.2766,BEER
401.8,0.4043,0.3191,0.2766,BEER
403.0,0.4043,0.3191,0.2766,BEER
403.0,0.406,0.3162,0.2778,BEER
402.8,0.406,0.3162,0.2778,BEER
401.4,0.406,0.3162,0.2778,BEER
400.0,0.406,0.3162,0.2778,BEER
400.4,0.406,0.3162,0.2778,BEER
400.8,0.406,0.3162,0.2778,BEER
400.8,0.406,0.3162,0.2778,BEER
401.0,0.406,0.3162,0.2778,BEER
402.4,0.406,0.3162,0.2778,BEER
400.6,0.406,0.3162,0.2778,BEER
400.2,0.4067,0.3178,0.2754,BEER
400.6,0.4067,0.3178,0.2754,BEER
400.8,0.4067,0.3178,0.2754,BEER
400.6,0.4067,0.3178,0.2754,BEER
402.0,0.4092,0.3165,0.2743,BEER
404.8,0.4092,0.3165,0.2743,BEER
404.4,0.4092,0.3165,0.2743,BEER
404.4,0.4092,0.3165,0.2743,BEER
404.2,0.4092,0.3165,0.2743,BEER
404.2,0.4092,0.3165,0.2743,BEER
401.6,0.4092,0.3165,0.2743,BEER
401.6,0.4092,0.3165,0.2743,BEER
401.8,0.4117,0.3152,0.2731,BEER
401.6,0.4117,0.3152,0.2731,BEER
401.6,0.4117,0.3152,0.2731,BEER
401.4,0.4117,0.3152,0.2731,BEER
401.2,0.4117,0.3152,0.2731,BEER
400.8,0.4117,0.3152,0.2731,BEER
402.0,0.4142,0.3138,0.272,BEER
402.2,0.4142,0.3138,0.272,BEER
402.6,0.4142,0.3138,0.272,BEER
403.2,0.4142,0.3138,0.272,BEER
403.2,0.4142,0.3138,0.272,BEER
